tag_origin,tag_destination,subfield_single_from,subfield_single_to,subfield_combined_from_1,subfield_combined_to_1,symbol_1 ,subfield_combined_from_2,subfield_combined_to_2,symbol_2,subfield_combined_from_3,subfield_combined_to_3,symbol_3,New_indecator,Position_from,Position_to,Map_if_no_this_tag_existed,Map_if_no_this_tag_subfield_existed, Keep_one_if_multiple_available
100,700,"6,e","6,e","a,b,c,d,q",a,,,,,,,,"1,_",,,,,
110,710,"6,e","6,e","a,b",a,,,,,,,,"2,_",,,,,
111,711,6,6,"a,c,d,e,f,n,p,t",a,,,,,,,,"_,_",,,,,
242,246,6,6,"a,b,p,n",a,,,,,,,,,,,,,
245,245,"6,a","6,a","n,p",p,,,,,"b,f,k",b,,"_,_",,,,,
246,246,6,6,"a,b,p,n",a,,,,,,,,"_,_",,,,,
250,250,"6,a","6,a",,,,,,,,,,"_,_",,,,,
255,255,"6,a,b,c","6,a,b,c",,,,,,,,,,"_,_",,,,,
260,260,"6,a,b,c","6,a,b,c",,,,,,,,,,"_,_",,,,,
264,260,"6,a,b,c","6,a,b,c",,,,,,,,,,"_,_",,,260,,1
300,300,"6,b,c","6,b,c","3,a",a,,,,,,,,"_,_",,,,,
351,505,6,6,"a,b",a,,,,,,,,"_,_",,,,,
490,490,6,6,"a,v",a,,,,,,,,"_,_",,,,,
500,500,"6,a","6,a",,,,,,,,,,"_,_",,,,,
502,502,6,6,"a,b,c,d,g,o",a,,,,,,,,"_,_",,,,,
505,505,6,6,"a,g,r,t",a,,,,,,,,"_,_",,,,,
507,255,"6,a","6,a",,,,,,,,,,"_,_",,,,255__a,
520,520,"6,a","6,a",,,,,,,,,,"_,_",,,,,
522,522,"6,a","6,a",,,,,,,,,,"_,_",,,,,
524,524,"6,a","6,a",,,,,,,,,,"_,_",,,,,
536,536,"6,a","6,a",,,,,,,,,,"_,_",,,,,
540,540,6,6,"a,b",a,,,,,,,,"_,_",,,,,
541,541,6,6,"c,a,d",a,,,,,,,,"_,_",,,,,
545,545,"6,a","6,a",,,,,,,,,,"_,_",,,,,
546,546,"6,a","6,a",,,,,,,,,,"_,_",,,,,
600,600,6,6,"a,b,c,d,f,j,k,l,m,n,o,p,q,r,s,t",a,,"x,y,z,v",a,a--a,,,,"_,_",,,,,
610,610,6,6,"a,b,c,d,f,j,k,l,m,n,o,p,q,r,s,t",a,,"x,y,z,v",a,a--a,,,,"_,_",,,,,
611,611,6,6,"a,b,c,d,f,j,k,l,m,n,o,p,q,r,s,t",a,,"x,y,z,v",a,a--a,,,,"_,_",,,,,
630,630,6,6,"a,b,c,d,f,j,k,l,m,n,o,p,q,r,s,t",a,,"x,y,z,v",a,a--a,,,,"_,_",,,,,
650,650,6,6,"a,b,c",a,,"x,y,z,v",a,a--a,,,,"_,_",,,,,
651,651,6,6,a,a,,"x,y,z,v",a,a--a,,,,"_,_",,,,,
655,655,"6,2","6,2",a,a,,"x,y,z,v",a,a--a,,,,"_,_",,,,,
700,700,"6,e","6,e","a,b,c,d,q",a,,,,,,,,"1,_",,,,,
710,710,"6,e","6,e","a,b",a,,,,,,,,"2,_",,,,,
711,711,6,6,"a,c,d,e,f,n,p,t",a,,,,,,,,"_,_",,,,,
720,700,"6,a,e","6,a,e",,,,,,,,,,"1,_",,,,,
752,651,6,6,,,,"a,b,c,d,f,g",a,a--a,,,,"_,_",,,,,
773,773,"6,t,j,k,o","6,t,j,k,o",,,,,,,,,,"_,_",,,,,
907,901,"6,a","6,m",,,,,,,,,,"_,_",,,,,
