Field	Retain?	Incoming Subfields	TIND Subfields	Label	MARC Definition	Instructions	Comments / Details
• All TIND fields should have both indicators set to blank, except where specially noted in column 1. • Incoming subfields (column 3) do not indicate a specific order. Subfields should be processed in the order in which they appear in the MARC record. • TIND subfields (column 4) do indicate an order. Add or combine subfields using this order 							
LDR BibLvl	move data, drop	byte 07			Bibliographic level	Move to 903__b	
LDR format	move data, drop	byte 06			Type of record	Translate to 336__a. Use mapping on 2nd tab of MARC Fields for TIND 20190208	
001	move data, drop				OCLC Number	Delete 001 but put OCLC number into 901__o	See instructions for 901
003	drop				Control Number Identifier		
005	drop				Date and Time of Latest Transaction		
006	drop				Additional Material Characteristics		
007	drop				Physical Description Fixed Field		
008 date1, date2	move data, drop	bytes 07-10, 11-14			Fixed Fields	Delete 008 but preserve dates in 269__a,b if no more specific dates are available. Use only 4-digit years - drop other date formats, e.g., 19uu, etc.	Specific dates are the dates of an issue of a periodical, date of a specific photo, etc. The more specific date should be used in 260/269. Use dates from 008 as a date of "last resort". 269 is highly desirable but not required when date is unknown
008 lang	move data, drop	bytes 35-37			Language code	Move to 041__a unless 041 already present	
009	drop				Local Field		
010	drop				Library of Congress Control Number		
013	drop				Patent Control Information		
015	drop				National Bibliography Number		
016	drop				National Bibliographic Agency Control Number		
017	drop				Copyright or Legal Deposit Number		
018	drop				Copyright Article-Fee Code		
020	drop				International Standard Book Number		
022	drop				International Standard Serial Number		
02470	drop		 		Obsolete. Do not use	Call numbers and identifiers now go in 02480_a	
02480	drop		a		Local Identifier/Call number		
025	drop				Overseas Acquisition Number		
026	drop				Fingerprint Identifier		
027	drop				Standard Technical Report Number		
028	drop				Publisher or Distributor Number		
030	drop				CODEN Designation		
031	drop				Musical Incipits Information		
032	drop				Postal Registration Number		
033	drop				Date/Time and Place of an Event		
034	drop				Coded Cartographic Mathematical Data		
035	drop				System Control Number		
036	drop				Original Study Number for Computer Data Files		
037	drop				Source of Acquisition		
038	drop				Record Content Licensor		
040	drop				Cataloging Source		
041__a	retain	a	a		Language Code		
042	drop				Authentication Code		
043	drop				Geographic Area Code		
044	drop				Country of Publishing/Producing Entity Code		
045	drop				Time Period of Content		
046	drop				Special Coded Dates		
047	drop				Form of Musical Composition Code		
048	drop				Number of Musical Instruments or Voices Codes		
050	drop				Library of Congress Call Number		
051	drop				Library of Congress Copy, Issue, Offprint Statement		
052	drop				Geographic Classification		
055	drop				Classification Numbers Assigned in Canada		
060	drop				National Library of Medicine Call Number		
061	drop				National Library of Medicine Copy Statement		
066	drop				Character Sets Present		
070	drop				National Agricultural Library Call Number		
071	drop				National Agricultural Library Copy Statement		
072	drop				Subject Category Code		
074	drop				GPO Item Number		
080	drop				Universal Decimal Classification Number		
082	drop				Dewey Decimal Classification Number		
083	drop				Additional Dewey Decimal Classification Number		
084	drop				Other Classification Number		
085	drop				Synthesized Classification Number Components		
086	drop				Government Document Classification Number		
088	drop				Report Number		
090	drop				Local call number		
100	move data, drop	6, a, b, c, d, e, q			Personal Name	Move data to 7001_ See instructions for 7001	
110	move data, drop	6, a, b, c, d, e			Corporate Name	Move data to 7102_ See instructions for 7102_	Note: $b is often repeated
111	move data, drop	6, a, c, d, e, f, n, p, t			Meeting Name	Move data to 711__ See instructions for 711__	
130	drop				Uniform Title		This field is not useful for TIND
210	drop				Abbreviated Title		
220	drop				Key Title		
240	drop				Uniform title		
242	move data, drop	6, a, b, p, n	 		Translation of Title by Cataloging Agency	Move data to 246__	
230	drop				Collective Uniform Title		
245__	retain	6, a, b, f, p, n, k	6, a, b, p		Title	Combine$n and $p into a single $p (part/vol/issue, etc). Append $f and $k to $b if it exists, else create a new $b and put it there. Keep 6 as is. 	Use $p for vol/date/part, etc. designations, e.g., specific volumes, issue dates, etc.
245__c	move data (see note)		b		Interviewer/Interviewee	Append $c to end of $b or add to new $b	FOR ORAL HISTORIES ONLY
246__	retain	6, a, b, p, n	6, a		Varying Form of Title	Combine all subfields into $a	
247	drop				Former Title		
250__	retain	a	a		Edition Statement		
254	drop				Musical Presentation Statement		
255__	retain	a, b, c	a, b, c		Cartographic Mathematical Data		
256	drop				Computer File Characteristics		
257	drop				Country of Producing Entity		
258	drop				Philatelic Issue Data		
260__	retain	6, a, b, c	6, a, b, c		Publication, Distribution, Etc	Delete all square brackets. Delete :;, when occuring at the end of a subfield	
263	drop				Projected Publication Date		
264	move data, drop	6, a, b, c			Publication, Distribution, Etc.	Move data to 260__ 6, a, b, and c unless 260 already present	When 260 and 264 are present, use 260, drop 264. When mulitple 264s are present, use the first one and drop the rest. 
269__	drop		a, b		TIND internal normalized date	E.g., 2019-06-13, or 2019-06 (month) or just 2019 if that's all you know is the year	When possible use the most specific date as possible when readily available. A year can be used from the Date 008 fixed field, or 260/264 $c or other source of information such as a landing page or information in the title. Use your judgement about when these specific dates are worth the effort, e.g., long newspaper or journal runs are most useful when users can sort down to the day level. 
270	drop				Address		
300__	retain	3, a, b, c	a, b, c		Physical Description	Delete all square brackets. Delete :;, when occuring at the end of a subfield. Capitalize first letter of $3 if necessary and insert at the beginning of $a	
307	drop				Hours, etc.		
